length,family,f1
120,5S rRNA,0.0215053763240575
98,SRP,0.0506329089403152
120,5S rRNA,0.0430107526481151
118,SRP,0.0833333358168602
255,SRP,0.0219780206680297
120,5S rRNA,0.0652173981070518
344,tmRNA,0.0196078438311815
369,tmRNA,0.0074074077419936
119,5S rRNA,0.0217391308397054
392,RNaseP,0.007067137863487
367,tmRNA,0.0223048347979784
83,tRNA,0.0
119,5S rRNA,0.0
119,5S rRNA,0.0215053763240575
328,RNaseP,0.0
103,SRP,0.0
119,5S rRNA,0.0
32,SRP,0.0
376,tmRNA,0.0
77,SRP,0.2745097875595093
120,5S rRNA,0.022727271541953
114,5S rRNA,0.0
100,SRP,0.0
109,5S rRNA,0.0256410278379917
244,SRP,0.0
58,SRP,0.0
120,5S rRNA,0.0434782616794109
298,SRP,0.0
76,tRNA,0.0677966102957725
77,tRNA,0.0701754391193389
120,5S rRNA,0.0842105224728584
78,tRNA,0.0333333313465118
356,tmRNA,0.0077821016311645
290,RNaseP,0.0201005041599273
312,RNaseP,0.0185185186564922
76,tRNA,0.0
303,SRP,0.0
116,5S rRNA,0.0470588244497776
118,SRP,0.0
443,telomerase,0.0061538466252386
118,5S rRNA,0.0219780225306749
102,SRP,0.0238095223903656
425,group I intron,0.0
85,tRNA,0.0317460298538208
294,RNaseP,0.01970443315804
117,5S rRNA,0.0232558138668537
105,SRP,0.0
300,RNaseP,0.0
309,SRP,0.0
119,5S rRNA,0.0439560450613498
274,SRP,0.0105263153091073
110,5S rRNA,0.1025640964508056
330,RNaseP,0.0
389,RNaseP,0.0
120,5S rRNA,0.0222222208976745
85,tRNA,0.0
111,5S rRNA,0.048192773014307
332,RNaseP,0.0
120,5S rRNA,0.0229885056614875
417,RNaseP,0.0068027204833924
120,5S rRNA,0.0430107526481151
77,tRNA,0.0677966102957725
95,SRP,0.0
92,SRP,0.0869565308094024
351,tmRNA,0.007905138656497
359,RNaseP,0.007604562677443
115,5S rRNA,0.0476190447807312
73,SRP,0.0784313753247261
84,tRNA,0.0322580635547637
506,16S rRNA,0.0
75,tRNA,0.1111111119389534
363,tmRNA,0.0
120,5S rRNA,0.0434782579541206
105,5S rRNA,0.0
84,tRNA,0.0
119,5S rRNA,0.0217391308397054
119,5S rRNA,0.0215053763240575
299,SRP,0.0
120,5S rRNA,0.0222222208976745
244,SRP,0.0
363,tmRNA,0.014869887381792
98,SRP,0.0
124,5S rRNA,0.0204081647098064
437,RNaseP,0.0
82,SRP,0.1000000014901161
109,5S rRNA,0.0
121,5S rRNA,0.0217391308397054
308,SRP,0.0
447,telomerase,0.0
606,16S rRNA,0.0
120,5S rRNA,0.0210526306182146
77,tRNA,0.0
305,SRP,0.0170940160751342
104,SRP,0.0
433,RNaseP,0.0060975612141191
118,5S rRNA,0.0465116277337074
401,RNaseP,0.0142857143655419
257,SRP,0.0196078419685363
92,SRP,0.0540540516376495
121,5S rRNA,0.0645161271095275
115,5S rRNA,0.0
119,5S rRNA,0.0645161271095275
304,SRP,0.0171673819422721
75,tRNA,0.0
124,5S rRNA,0.0
72,tRNA,0.0769230797886848
121,5S rRNA,0.0439560413360595
263,SRP,0.0
88,SRP,0.0
293,RNaseP,0.0193236712366342
119,5S rRNA,0.0
85,tRNA,0.0327868834137916
71,tRNA,0.0416666679084301
423,RNaseP,0.006289308425039
548,telomerase,0.0056338026188313
334,RNaseP,0.0179372206330299
103,SRP,0.0506329126656055
118,5S rRNA,0.02197802439332
118,5S rRNA,0.0
127,SRP,0.0
75,tRNA,0.0357142835855484
361,tmRNA,0.0
363,tmRNA,0.0075471703894436
124,5S rRNA,0.1063829809427261
423,tmRNA,0.0130718955770134
306,RNaseP,0.0
89,SRP,0.0895522385835647
367,tmRNA,0.0144927529618144
98,SRP,0.0270270276814699
102,SRP,0.0
363,tmRNA,0.0223880596458911
96,SRP,0.0749999955296516
114,SRP,0.025000000372529
104,5S rRNA,0.0
127,SRP,0.0
522,SRP,0.0232018586248159
65,SRP,0.0
122,5S rRNA,0.0
350,tmRNA,0.0074074072763323
76,tRNA,0.0
120,5S rRNA,0.0210526306182146
236,tmRNA,0.0155038768425583
111,5S rRNA,0.0246913582086563
119,5S rRNA,0.0430107526481151
118,5S rRNA,0.0235294122248888
78,tRNA,0.0338983051478862
272,SRP,0.0181818194687366
121,5S rRNA,0.0470588244497776
121,5S rRNA,0.0465116277337074
311,SRP,0.0080000003799796
354,tmRNA,0.0
90,SRP,0.0655737742781639
76,tRNA,0.0338983051478862
349,tmRNA,0.0150943398475646
118,5S rRNA,0.0
266,RNaseP,0.0
321,RNaseP,0.0180180184543132
98,SRP,0.0273972600698471
99,SRP,0.0
121,5S rRNA,0.0217391308397054
87,tRNA,0.0327868834137916
77,tRNA,0.105263166129589
120,5S rRNA,0.0
131,5S rRNA,0.0206185560673475
76,tRNA,0.0701754391193389
129,5S rRNA,0.0659340694546699
118,5S rRNA,0.0
119,5S rRNA,0.0212765950709581
755,group II intron,0.0
75,tRNA,0.0
269,SRP,0.0
119,5S rRNA,0.0229885056614875
128,16S rRNA,0.0
104,5S rRNA,0.0281690154224634
237,16S rRNA,0.0
76,tRNA,0.0
306,SRP,0.0
328,RNaseP,0.0265486724674701
119,5S rRNA,0.0
305,RNaseP,0.0096153849735856
30,SRP,0.1111111119389534
76,tRNA,0.036363635212183
318,SRP,0.0
74,tRNA,0.0701754391193389
76,tRNA,0.0666666626930236
121,5S rRNA,0.0238095261156559
308,SRP,0.0081300819292664
120,5S rRNA,0.0
595,23S rRNA,0.0046620047651231
708,23S rRNA,0.0
398,tmRNA,0.0065573770552873
370,RNaseP,0.014981273561716
90,SRP,0.1176470518112182
398,RNaseP,0.0132450340315699
120,5S rRNA,0.0459770113229751
121,5S rRNA,0.0217391308397054
124,5S rRNA,0.0666666626930236
116,5S rRNA,0.0
85,tRNA,0.0
119,5S rRNA,0.0
117,5S rRNA,0.0
355,16S rRNA,0.0
120,5S rRNA,0.0
77,tRNA,0.0344827584922313
159,16S rRNA,0.0
119,5S rRNA,0.0222222227603197
234,RNaseP,0.0363636389374733
114,5S rRNA,0.0238095223903656
122,5S rRNA,0.0
120,5S rRNA,0.0430107526481151
361,tmRNA,0.0289855077862739
120,5S rRNA,0.0
120,5S rRNA,0.0439560413360595
90,SRP,0.0
120,5S rRNA,0.0434782616794109
270,SRP,0.009132420644164
70,tRNA,0.0833333358168602
451,group I intron,0.0
412,RNaseP,0.01374570466578
318,SRP,0.0163265299052
120,5S rRNA,0.0210526306182146
118,SRP,0.0215053763240575
120,5S rRNA,0.0224719084799289
116,5S rRNA,0.0444444417953491
122,5S rRNA,0.0666666701436042
116,5S rRNA,0.0253164544701576
120,5S rRNA,0.0
101,SRP,0.025000000372529
299,RNaseP,0.0105820102617144
114,SRP,0.0229885056614875
121,5S rRNA,0.0425531901419162
256,SRP,0.0288461539894342
320,SRP,0.0
119,5S rRNA,0.0
115,5S rRNA,0.0
75,tRNA,0.036363635212183
348,RNaseP,0.0232558138668537
116,5S rRNA,0.0227272734045982
116,5S rRNA,0.0240963865071535
363,tmRNA,0.0074074072763323
500,16S rRNA,0.0105820102617144
105,SRP,0.0249999985098838
120,5S rRNA,0.1075268909335136
65,tRNA,0.0784313753247261
335,RNaseP,0.0083682006224989
350,tmRNA,0.0073529407382011
316,SRP,0.0083333328366279
360,tmRNA,0.0073529412038624
282,SRP,0.0
115,5S rRNA,0.0227272734045982
265,group I intron,0.0
103,SRP,0.0
87,SRP,0.0
77,tRNA,0.0
110,5S rRNA,0.0235294103622436
344,tmRNA,0.0
75,tRNA,0.0689655169844627
114,SRP,0.025000000372529
360,tmRNA,0.0229885075241327
98,SRP,0.0
120,5S rRNA,0.0
303,SRP,0.0
341,tmRNA,0.0
421,tmRNA,0.0063291131518781
552,16S rRNA,0.0
120,5S rRNA,0.0232558157294988
361,tmRNA,0.0
124,5S rRNA,0.0224719103425741
115,5S rRNA,0.0
117,5S rRNA,0.022727271541953
119,5S rRNA,0.0224719122052192
770,group II intron,0.0
367,tmRNA,0.0074626859277486
127,SRP,0.0259740259498357
371,tmRNA,0.006802721414715
408,RNaseP,0.0
302,RNaseP,0.0190476197749376
121,5S rRNA,0.0659340694546699
98,SRP,0.0357142873108387
120,5S rRNA,0.0465116314589977
120,5S rRNA,0.0
390,tmRNA,0.0066445185802876
251,group I intron,0.0
320,RNaseP,0.0101010100916028
116,5S rRNA,0.0470588244497776
85,tRNA,0.0317460298538208
117,5S rRNA,0.0476190522313118
76,tRNA,0.0344827584922313
315,RNaseP,0.0092165898531675
490,16S rRNA,0.0110803330317139
78,tRNA,0.1034482792019844
118,SRP,0.0879120901226997
81,SRP,0.0
75,tRNA,0.0350877195596694
117,5S rRNA,0.0232558138668537
75,tRNA,0.0740740746259689
259,group I intron,0.0105820093303918
75,tRNA,0.0740740820765495
76,tRNA,0.0
361,tmRNA,0.0143369175493717
451,telomerase,0.0
327,RNaseP,0.0087719298899173
121,5S rRNA,0.0430107526481151
118,5S rRNA,0.0222222208976745
363,tmRNA,0.0144404331222176
116,5S rRNA,0.0229885056614875
76,tRNA,0.0
151,16S rRNA,0.0
312,RNaseP,0.0178571436554193
532,16S rRNA,0.0
122,5S rRNA,0.0
111,SRP,0.0
409,RNaseP,0.0069204154424369
283,SRP,0.0538116618990898
273,RNaseP,0.0
395,RNaseP,0.0
601,16S rRNA,0.0094562647864222
302,SRP,0.0
119,5S rRNA,0.0
122,5S rRNA,0.0219780225306749
116,5S rRNA,0.1098901182413101
154,SRP,0.0
363,tmRNA,0.0075187967158854
368,tmRNA,0.0221402235329151
267,SRP,0.0
76,tRNA,0.0714285671710968
119,5S rRNA,0.0434782616794109
308,SRP,0.0161943305283784
120,5S rRNA,0.0434782616794109
102,SRP,0.0253164563328027
360,tmRNA,0.0151515146717429
122,5S rRNA,0.084210529923439
76,tRNA,0.0727272778749466
358,tmRNA,0.0
76,tRNA,0.0
84,SRP,0.0327868834137916
307,RNaseP,0.0090909088030457
271,SRP,0.0
107,5S rRNA,0.0789473727345466
74,tRNA,0.1034482792019844
336,RNaseP,0.0082987546920776
119,5S rRNA,0.0689655095338821
116,5S rRNA,0.1136363670229911
120,5S rRNA,0.0
81,SRP,0.0952380821108818
358,tmRNA,0.0154440170153975
119,5S rRNA,0.0860215052962303
293,SRP,0.0177777782082557
76,tRNA,0.0701754391193389
119,5S rRNA,0.0652173906564712
342,RNaseP,0.0080000003799796
355,tmRNA,0.0149253727868199
119,5S rRNA,0.0
281,RNaseP,0.0100502511486411
116,5S rRNA,0.0
115,5S rRNA,0.0
76,tRNA,0.0714285671710968
75,tRNA,0.0701754391193389
335,RNaseP,0.025000000372529
86,SRP,0.0
120,5S rRNA,0.0
116,SRP,0.0240963865071535
256,16S rRNA,0.0
103,SRP,0.0273972619324922
84,tRNA,0.0
305,RNaseP,0.0
95,SRP,0.0547945238649845
117,5S rRNA,0.0470588244497776
119,5S rRNA,0.0229885056614875
110,SRP,0.0779220759868621
389,RNaseP,0.0
120,5S rRNA,0.0210526306182146
402,RNaseP,0.0067114094272255
120,5S rRNA,0.0
115,5S rRNA,0.0697674453258514
119,5S rRNA,0.0449438244104385
397,tmRNA,0.0
119,5S rRNA,0.0430107526481151
118,5S rRNA,0.0217391289770603
319,RNaseP,0.0098039219155907
116,SRP,0.0
113,SRP,0.0851063802838325
251,SRP,0.01970443315804
76,tRNA,0.0357142835855484
162,SRP,0.0
76,tRNA,0.0
114,SRP,0.025000000372529
1474,16S rRNA,0.0018382354173809
308,RNaseP,0.0
115,5S rRNA,0.0
125,5S rRNA,0.0
390,tmRNA,0.0133333336561918
106,SRP,0.0
169,16S rRNA,0.0
72,tRNA,0.0
116,5S rRNA,0.0235294122248888
355,tmRNA,0.0
360,RNaseP,0.0237154141068458
118,5S rRNA,0.0232558138668537
377,RNaseP,0.0215053763240575
266,SRP,0.0
279,SRP,0.0
119,5S rRNA,0.0222222227603197
118,5S rRNA,0.0888888835906982
326,RNaseP,0.0
30,SRP,0.1111111119389534
119,5S rRNA,0.0430107526481151
281,SRP,0.009132420644164
98,SRP,0.0
306,SRP,0.0
114,SRP,0.107526883482933
41,SRP,0.0740740746259689
72,tRNA,0.0701754465699195
76,tRNA,0.0338983051478862
76,tRNA,0.0
120,5S rRNA,0.0
76,tRNA,0.0370370373129844
120,5S rRNA,0.0434782616794109
114,5S rRNA,0.0
105,SRP,0.0
137,SRP,0.0
406,16S rRNA,0.0
411,RNaseP,0.0199999995529651
370,tmRNA,0.0
120,5S rRNA,0.0219780206680297
363,tmRNA,0.0
348,tmRNA,0.0
309,SRP,0.0254237297922372
115,5S rRNA,0.0
120,5S rRNA,0.0212765969336032
85,tRNA,0.0634920597076416
109,5S rRNA,0.0
77,tRNA,0.0344827584922313
356,tmRNA,0.0158730149269104
120,5S rRNA,0.0459770113229751
72,tRNA,0.0
243,SRP,0.0
74,tRNA,0.0
421,RNaseP,0.0
76,tRNA,0.0338983051478862
428,group I intron,0.0062111797742545
398,RNaseP,0.006535948254168
118,5S rRNA,0.0652173906564712
121,5S rRNA,0.0235294103622436
113,5S rRNA,0.0470588244497776
353,tmRNA,0.0154440160840749
82,SRP,0.0
293,RNaseP,0.029268292710185
383,RNaseP,0.0209790207445621
119,5S rRNA,0.1098901107907295
103,SRP,0.0235294103622436
120,5S rRNA,0.089887648820877
77,tRNA,0.0689655169844627
64,SRP,0.0
359,tmRNA,0.0216606501489877
1804,16S rRNA,0.0
611,group I intron,0.0
295,RNaseP,0.0195121951401233
79,SRP,0.0999999940395355
377,RNaseP,0.0071428571827709
120,5S rRNA,0.0215053763240575
76,tRNA,0.0689655169844627
75,tRNA,0.0350877232849597
394,tmRNA,0.0068493150174617
364,tmRNA,0.0147601468488574
76,tRNA,0.0344827584922313
103,5S rRNA,0.0
280,SRP,0.0
103,5S rRNA,0.0
288,SRP,0.0
298,SRP,0.0088888891041278
307,RNaseP,0.0178571417927742
345,tmRNA,0.0082644633948802
120,5S rRNA,0.0215053763240575
218,SRP,0.0
605,23S rRNA,0.0
67,tRNA,0.0
368,tmRNA,0.007547169458121
98,SRP,0.0263157896697521
121,5S rRNA,0.0
380,23S rRNA,0.0074349441565573
372,tmRNA,0.0071428567171096
114,SRP,0.1318681240081787
89,SRP,0.0579710192978382
327,tmRNA,0.0097560966387391
286,RNaseP,0.0122699392959475
297,RNaseP,0.0
88,SRP,0.0
120,5S rRNA,0.0217391308397054
121,5S rRNA,0.0215053763240575
110,5S rRNA,0.050000000745058
116,5S rRNA,0.0
97,SRP,0.0263157896697521
270,SRP,0.0089686093851923
42,SRP,0.0740740746259689
302,SRP,0.0
299,SRP,0.0
1974,16S rRNA,0.0
320,RNaseP,0.0
119,5S rRNA,0.02197802439332
115,5S rRNA,0.0
289,SRP,0.018433179706335
111,5S rRNA,0.0749999955296516
337,23S rRNA,0.0337552726268768
294,RNaseP,0.0099009908735752
444,telomerase,0.0
302,RNaseP,0.028846152126789
75,tRNA,0.0784313753247261
120,5S rRNA,0.0430107526481151
88,tRNA,0.0
118,5S rRNA,0.0425531901419162
554,group I intron,0.0
680,23S rRNA,0.0041322312317788
303,RNaseP,0.0099502494558691
90,SRP,0.1449275463819503
120,5S rRNA,0.0
119,5S rRNA,0.0229885056614875
120,5S rRNA,0.0425531901419162
436,group I intron,0.0060606063343584
104,5S rRNA,0.0
356,tmRNA,0.0218978114426136
92,tRNA,0.0333333350718021
60,tRNA,0.0930232629179954
119,5S rRNA,0.0434782616794109
88,tRNA,0.0655737668275833
106,SRP,0.0731707289814949
397,tmRNA,0.0
408,tmRNA,0.006802721414715
364,RNaseP,0.015936255455017
382,tmRNA,0.0
377,RNaseP,0.0
103,SRP,0.0246913582086563
118,SRP,0.0416666679084301
120,5S rRNA,0.0
346,tmRNA,0.0298507455736398
385,RNaseP,0.0
77,tRNA,0.0701754391193389
243,RNaseP,0.0636942610144615
367,tmRNA,0.0075187967158854
387,tmRNA,0.0285714287310838
347,16S rRNA,0.0082987546920776
120,5S rRNA,0.0
240,group I intron,0.0111111104488372
120,5S rRNA,0.0
77,SRP,0.034482754766941
115,5S rRNA,0.0243902448564767
376,tmRNA,0.0068259388208389
354,RNaseP,0.0077220080420374
121,5S rRNA,0.0
77,tRNA,0.0344827584922313
120,5S rRNA,0.0210526306182146
122,5S rRNA,0.0243902448564767
121,5S rRNA,0.0860215052962303
358,tmRNA,0.0
681,23S rRNA,0.0041666664183139
120,5S rRNA,0.0645161271095275
118,5S rRNA,0.0217391308397054
100,SRP,0.0253164563328027
340,RNaseP,0.0081632658839225
416,RNaseP,0.0062500000931322
347,tmRNA,0.0144927538931369
116,5S rRNA,0.0
293,RNaseP,0.0196078419685363
77,tRNA,0.0350877195596694
293,SRP,0.0
281,SRP,0.0448430515825748
120,5S rRNA,0.0
92,SRP,0.0810810849070549
119,5S rRNA,0.0430107526481151
352,tmRNA,0.0
266,RNaseP,0.0
303,SRP,0.0081967217847704
114,5S rRNA,0.0465116277337074
485,16S rRNA,0.0
120,5S rRNA,0.084210529923439
341,RNaseP,0.0
76,tRNA,0.1016949117183685
210,SRP,0.0242424253374338
121,5S rRNA,0.0
331,RNaseP,0.0
449,telomerase,0.0
118,SRP,0.0
353,tmRNA,0.0
116,5S rRNA,0.0227272734045982
550,group I intron,0.0
115,5S rRNA,0.0
119,5S rRNA,0.0430107526481151
426,tmRNA,0.0062893079593777
536,16S rRNA,0.0053050396963953
75,tRNA,0.0
108,5S rRNA,0.0256410241127014
91,SRP,0.0322580635547637
76,tRNA,0.0357142835855484
429,SRP,0.0
381,tmRNA,0.0
119,5S rRNA,0.0444444455206394
119,5S rRNA,0.0645161271095275
119,5S rRNA,0.0
339,RNaseP,0.0
120,5S rRNA,0.0222222208976745
103,SRP,0.0493827164173126
116,5S rRNA,0.0465116277337074
408,tmRNA,0.0125786168500781
352,RNaseP,0.0158730149269104
116,SRP,0.0246913582086563
350,tmRNA,0.0154440151527524
366,tmRNA,0.0141342747956514
282,SRP,0.0194174759089946
90,tRNA,0.0
120,5S rRNA,0.0638297870755195
334,RNaseP,0.0083681996911764
138,SRP,0.0
112,5S rRNA,0.0322580635547637
73,tRNA,0.0769230797886848
75,tRNA,0.0370370410382747
72,tRNA,0.0
113,SRP,0.107526883482933
77,tRNA,0.0
299,SRP,0.0174672491848468
120,5S rRNA,0.0
232,RNaseP,0.0
119,5S rRNA,0.0
479,RNaseP,0.0106951873749494
66,SRP,0.0571428574621677
359,tmRNA,0.0234375
123,5S rRNA,0.0
33,SRP,0.3157894611358642
117,5S rRNA,0.0
116,5S rRNA,0.0674157291650772
364,tmRNA,0.0223048329353332
56,SRP,0.0
352,tmRNA,0.0078125
514,16S rRNA,0.0
196,RNaseP,0.0
83,SRP,0.0
378,tmRNA,0.0
387,tmRNA,0.0066889636218547
75,tRNA,0.036363635212183
74,tRNA,0.0701754391193389
85,tRNA,0.0327868834137916
408,RNaseP,0.0
74,tRNA,0.0
335,RNaseP,0.0085106389597058
115,5S rRNA,0.0
119,5S rRNA,0.0210526306182146
74,tRNA,0.105263166129589
363,tmRNA,0.0
74,tRNA,0.0
64,SRP,0.0
240,SRP,0.0
114,5S rRNA,0.0
606,23S rRNA,0.008714597672224
310,SRP,0.0081632649526
115,5S rRNA,0.0459770113229751
120,5S rRNA,0.0
205,RNaseP,0.0153846153989434
117,5S rRNA,0.0
448,group I intron,0.0
120,5S rRNA,0.0
266,SRP,0.0188679229468107
623,group I intron,0.0
308,SRP,0.0
114,SRP,0.0459770113229751
118,5S rRNA,0.0
306,SRP,0.0
54,tRNA,0.1666666567325592
88,tRNA,0.0317460298538208
205,SRP,0.0
425,group I intron,0.0
120,5S rRNA,0.0
120,5S rRNA,0.0229885056614875
100,SRP,0.0
305,RNaseP,0.0
369,tmRNA,0.0072992700152099
73,SRP,0.0
85,tRNA,0.0327868871390819
111,5S rRNA,0.0
113,SRP,0.0425531901419162
292,RNaseP,0.0199004970490932
426,tmRNA,0.0198019798845052
120,5S rRNA,0.0430107526481151
267,group I intron,0.0
397,RNaseP,0.0
118,5S rRNA,0.02197802439332
126,5S rRNA,0.0212765969336032
115,5S rRNA,0.0222222208976745
111,SRP,0.0459770113229751
1492,16S rRNA,0.0
115,5S rRNA,0.0253164544701576
120,5S rRNA,0.0689655169844627
383,tmRNA,0.0205479450523853
76,tRNA,0.0338983051478862
361,tmRNA,0.0073800738900899
115,5S rRNA,0.0232558157294988
119,5S rRNA,0.1573033630847931
370,tmRNA,0.0
278,SRP,0.0
446,telomerase,0.0060422960668802
386,tmRNA,0.0275862086564302
121,5S rRNA,0.0215053763240575
340,RNaseP,0.0
98,SRP,0.0533333346247673
120,5S rRNA,0.0652173981070518
361,tmRNA,0.0074626863934099
1800,16S rRNA,0.0
113,5S rRNA,0.0
120,5S rRNA,0.0476190522313118
114,SRP,0.0631578937172889
120,5S rRNA,0.0421052649617195
120,5S rRNA,0.0215053763240575
312,tmRNA,0.0206185560673475
301,SRP,0.0
74,tRNA,0.105263166129589
76,tRNA,0.0338983051478862
98,SRP,0.0266666673123836
121,5S rRNA,0.0
120,5S rRNA,0.0215053763240575
120,5S rRNA,0.0465116277337074
122,5S rRNA,0.0434782616794109
398,tmRNA,0.0
119,5S rRNA,0.0652173906564712
119,5S rRNA,0.0212765950709581
119,5S rRNA,0.0425531901419162
119,5S rRNA,0.0215053763240575
120,5S rRNA,0.0222222208976745
117,SRP,0.0215053763240575
124,5S rRNA,0.0210526324808597
119,5S rRNA,0.0666666701436042
320,SRP,0.0078431367874145
76,tRNA,0.0338983051478862
119,5S rRNA,0.0212765950709581
75,tRNA,0.1111111119389534
101,SRP,0.025000000372529
315,SRP,0.0166666656732559
121,5S rRNA,0.0439560487866401
299,SRP,0.0085470089688897
303,RNaseP,0.0
554,group I intron,0.0
124,5S rRNA,0.0215053763240575
98,SRP,0.0277777779847383
302,SRP,0.0
293,RNaseP,0.0099009908735752
119,5S rRNA,0.0652173981070518
119,5S rRNA,0.1149425357580185
118,5S rRNA,0.0
543,group I intron,0.0
99,SRP,0.0769230797886848
300,SRP,0.0
111,5S rRNA,0.0470588207244873
73,SRP,0.0370370410382747
308,SRP,0.0
310,SRP,0.0083682006224989
333,RNaseP,0.0172413792461156
85,tRNA,0.0333333313465118
272,SRP,0.0092165898531675
101,SRP,0.025000000372529
117,SRP,0.0434782616794109
363,tmRNA,0.0215827338397502
76,tRNA,0.0
120,5S rRNA,0.0232558138668537
377,RNaseP,0.0215827357023954
476,group I intron,0.0
293,RNaseP,0.0297029707580804
347,RNaseP,0.0323886685073375
119,5S rRNA,0.0430107526481151
52,SRP,0.0
128,5S rRNA,0.0408163294196128
76,tRNA,0.0338983051478862
119,5S rRNA,0.0434782579541206
120,5S rRNA,0.0439560413360595
119,5S rRNA,0.0645161271095275
76,tRNA,0.0338983051478862
279,RNaseP,0.0
90,tRNA,0.09375
115,5S rRNA,0.0459770113229751
120,5S rRNA,0.0444444455206394
310,SRP,0.0163265299052
355,tmRNA,0.022727271541953
120,5S rRNA,0.0659340694546699
359,tmRNA,0.0070175440050661
433,RNaseP,0.0123838996514678
123,5S rRNA,0.0212765950709581
391,RNaseP,0.007092198356986
117,5S rRNA,0.0459770113229751
78,tRNA,0.0
269,SRP,0.0
120,5S rRNA,0.0430107526481151
321,tmRNA,0.0165975112468004
74,tRNA,0.0
75,tRNA,0.0
81,SRP,0.0
116,5S rRNA,0.0
329,RNaseP,0.0
573,group I intron,0.0
118,5S rRNA,0.0705882385373115
123,5S rRNA,0.0434782616794109
289,RNaseP,0.0198019780218601
75,tRNA,0.0344827584922313
116,5S rRNA,0.072289153933525
120,5S rRNA,0.0217391289770603
76,tRNA,0.0370370373129844
321,tmRNA,0.0246913582086563
310,RNaseP,0.0
392,tmRNA,0.0134680131450295
301,RNaseP,0.0096618365496397
119,5S rRNA,0.0
293,RNaseP,0.0195121951401233
77,tRNA,0.0357142835855484
275,SRP,0.0177777782082557
73,tRNA,0.036363635212183
342,RNaseP,0.0085106380283832
91,SRP,0.0
75,tRNA,0.1428571343421936
108,SRP,0.0652173981070518
121,5S rRNA,0.0625
116,5S rRNA,0.0465116277337074
110,SRP,0.0238095223903656
77,tRNA,0.0701754391193389
116,5S rRNA,0.0
77,tRNA,0.0338983088731765
352,tmRNA,0.007490636780858
355,tmRNA,0.0225563906133174
117,5S rRNA,0.0229885056614875
130,SRP,0.0
120,5S rRNA,0.0697674378752708
119,5S rRNA,0.0652173906564712
98,SRP,0.0810810849070549
348,tmRNA,0.0092592593282461
386,tmRNA,0.0272108856588602
